trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
7503,False,"{'a': 0.75175049368474045, 'e': 0.2230074589203288}",20,14,0.38005080159031013,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
7504,False,"{'a': 0.75178378661224265, 'e': 0.22296285742854474}",20,9,19.89999066940269,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7505,False,"{'a': 0.75181706989117225, 'e': 0.22291826485705904}",20,11,-2.1131080849746873,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
7506,False,"{'a': 0.75185034352452829, 'e': 0.22287368120408763}",30,16,-9.811153846447944,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
7507,False,"{'a': 0.75188360751530914, 'e': 0.22282910646784682}",30,18,2.1397903666928677,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
7508,False,"{'a': 0.75191686186651163, 'e': 0.22278454064655323}",25,14,-1.6479483646403597,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
7509,False,"{'a': 0.7519501065811327, 'e': 0.22273998373842394}",30,22,16.32617256373662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7510,False,"{'a': 0.75198334166216796, 'e': 0.22269543574167625}",20,13,11.863052220365958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7511,False,"{'a': 0.75201656711261211, 'e': 0.22265089665452792}",25,18,15.217711774995665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7512,False,"{'a': 0.75204978293545921, 'e': 0.22260636647519702}",30,11,24.221311637835043,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
7513,False,"{'a': 0.75208298913370231, 'e': 0.222561845201902}",30,21,9.897217385756408,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7514,False,"{'a': 0.75211618571033401, 'e': 0.22251733283286163}",30,15,13.464362491481682,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
7515,False,"{'a': 0.75214937266834558, 'e': 0.22247282936629506}",20,9,-3.930346630352906,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
7516,False,"{'a': 0.75218255001072776, 'e': 0.2224283348004218}",30,11,-1.3593631667837403,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
7517,False,"{'a': 0.75221571774047036, 'e': 0.2223838491334617}",20,13,14.682630811322916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7518,False,"{'a': 0.75224887586056233, 'e': 0.22233937236363502}",20,0,-30.247642536183516,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7519,False,"{'a': 0.75228202437399183, 'e': 0.2222949044891623}",20,0,-74.9766197208979,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7520,False,"{'a': 0.75231516328374637, 'e': 0.22225044550826448}",30,17,2.405971617956599,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
7521,False,"{'a': 0.75234829259281233, 'e': 0.22220599541916283}",30,15,-54.81691746215374,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
7522,False,"{'a': 0.75238141230417543, 'e': 0.222161554220079}",20,16,8.17969742340015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7523,False,"{'a': 0.7524145224208203, 'e': 0.222117121909235}",20,0,14.726434430439559,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7524,False,"{'a': 0.7524476229457312, 'e': 0.22207269848485314}",20,15,3.6109004451600613,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7525,False,"{'a': 0.75248071388189119, 'e': 0.2220282839451562}",20,7,18.557862121796987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7526,False,"{'a': 0.75251379523228246, 'e': 0.22198387828836716}",20,11,5.8727786182205355,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7527,False,"{'a': 0.75254686699988682, 'e': 0.22193948151270948}",20,2,15.426089805058147,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
7528,False,"{'a': 0.75257992918768457, 'e': 0.22189509361640694}",20,0,17.40273423253477,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7529,False,"{'a': 0.75261298179865577, 'e': 0.22185071459768368}",30,15,20.377980212897317,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
7530,False,"{'a': 0.75264602483577947, 'e': 0.22180634445476413}",30,16,24.485256735041062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7531,False,"{'a': 0.75267905830203363, 'e': 0.2217619831858732}",20,0,17.983446391994935,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7532,False,"{'a': 0.75271208220039576, 'e': 0.22171763078923604}",30,11,6.2751592287973486,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
7533,False,"{'a': 0.75274509653384225, 'e': 0.2216732872630782}",25,2,-22.32390120713241,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
7534,False,"{'a': 0.75277810130534883, 'e': 0.22162895260562557}",20,7,11.398854586056057,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
7535,False,"{'a': 0.75281109651789035, 'e': 0.22158462681510446}",20,0,-61.12112090924948,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7536,False,"{'a': 0.75284408217444088, 'e': 0.22154030988974144}",25,3,-32.99979786280515,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
7537,False,"{'a': 0.75287705827797347, 'e': 0.2214960018277635}",20,16,7.394504260455046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7538,False,"{'a': 0.75291002483146041, 'e': 0.22145170262739794}",25,3,25.99626546808509,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
7539,False,"{'a': 0.75294298183787334, 'e': 0.22140741228687247}",30,11,-6.972757865037482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
7540,False,"{'a': 0.75297592930018276, 'e': 0.2213631308044151}",25,17,4.306190657150703,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7541,False,"{'a': 0.75300886722135874, 'e': 0.22131885817825422}",35,11,31.123633909952805,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
7542,False,"{'a': 0.75304179560437023, 'e': 0.2212745944066186}",35,23,7.2304547475337895,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
7543,False,"{'a': 0.75307471445218521, 'e': 0.22123033948773727}",25,3,22.35554761403413,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
